RideID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,DelayFactor,time,date
60,2.0,2016-01-29 11:33:00,2016-01-29 12:05:00,1.0,9.14,-73.87505341,40.77381134,1.0,N,-73.98876953,40.75791931,1.0,32.5,0.0,0.5,0.0,5.54,0.3,38.84,1.0,1133,20160129
61,2.0,2016-01-29 11:33:00,2016-01-29 11:49:00,1.0,7.83,-73.87469482,40.77405167,1.0,N,-73.95222473,40.78656387,1.0,24.0,0.0,0.5,3.0,5.54,0.3,33.34,2.0,1133,20160129
77,1.0,2016-01-29 11:33:00,2016-01-29 12:06:00,1.0,14.1,-73.87294006,40.77393341,1.0,N,-73.95716095,40.6652565,1.0,42.0,0.0,0.5,1.0,0.0,0.3,43.8,3.0,1133,20160129
87,1.0,2016-01-29 11:34:00,2016-01-29 12:15:00,4.0,11.9,-73.87305450000002,40.77415085,1.0,N,-73.98580933,40.75879288,2.0,39.0,0.0,0.5,0.0,5.54,0.3,45.34,8.0,1134,20160129
88,2.0,2016-01-29 11:34:00,2016-01-29 12:04:00,6.0,12.46,-73.87284851,40.77410126,1.0,N,-74.00827789,40.70756912,2.0,37.0,0.0,0.5,0.0,5.54,0.3,43.34,0.0,1134,20160129
89,1.0,2016-01-29 11:34:00,2016-01-29 12:03:00,1.0,10.3,-73.87294006,40.77408218,1.0,N,-73.97438812,40.75645828,2.0,32.0,0.0,0.5,0.0,5.54,0.3,38.34,0.0,1134,20160129
90,1.0,2016-01-29 11:34:00,2016-01-29 12:00:00,1.0,9.4,-73.87284088,40.77417374,1.0,N,-73.98547363,40.72373581,1.0,29.0,0.0,0.5,5.95,0.0,0.3,35.75,0.0,1134,20160129
91,1.0,2016-01-29 11:34:00,2016-01-29 11:57:00,1.0,8.6,-73.87456512,40.77408218,1.0,Y,-73.96948242,40.75749588,1.0,27.0,0.0,0.5,6.65,5.54,0.3,39.99,6.0,1134,20160129
92,1.0,2016-01-29 11:34:00,2016-01-29 12:18:00,1.0,10.5,-73.87284851,40.77407455,1.0,N,-73.97898865,40.76220322,2.0,38.5,0.0,0.5,0.0,5.54,0.3,44.84,0.0,1134,20160129
107,1.0,2016-01-29
